ID	Population	Nextera1-2_GNomEx_ID	Nextera3_Lane	Nextera3_GNomEx_ID
889	Magdalen_Is	11467X5	12	11677X45
890	Magdalen_Is	11467X6	12	11677X46
891	Magdalen_Is	11467X7	12	11677X47
892	Magdalen_Is	11467X8	12	11677X48
893	Magdalen_Is	11467X45	NA	NA
894	Magdalen_Is	11467X46	NA	NA
895	Magdalen_Is	11467X47	12	11677X76
896	Magdalen_Is	11467X48	NA	NA
985	Patchogue	11295X32	13	11678X32
986	Patchogue	11295X33	13	11678X33
987	Patchogue	11295X44	12	11677X37
988	Patchogue	11295X8	13	11678X8
990	Patchogue	11295X9	13	11678X9
991	Patchogue	11295X55	13	11678X47
992	Patchogue	11295X66	13	11678X58
993	Patchogue	11295X75	13	11678X67
